"Timestamp","Total score","Age group","Age group [Score]","Age group [Feedback]","Gender","Gender [Score]","Gender [Feedback]","Q6: How would you describe the area where you live? ","Q6: How would you describe the area where you live?  [Score]","Q6: How would you describe the area where you live?  [Feedback]","I often choose environmentally friendly products even if they cost a little more. ","I often choose environmentally friendly products even if they cost a little more.  [Score]","I often choose environmentally friendly products even if they cost a little more.  [Feedback]","I actively look for information about a company’s environmental practices before buying. ","I actively look for information about a company’s environmental practices before buying.  [Score]","I actively look for information about a company’s environmental practices before buying.  [Feedback]","I feel guilty when I buy a product that harms the environment. ","I feel guilty when I buy a product that harms the environment.  [Score]","I feel guilty when I buy a product that harms the environment.  [Feedback]","It is important to me that brands are honest about their sustainability claims. ","It is important to me that brands are honest about their sustainability claims.  [Score]","It is important to me that brands are honest about their sustainability claims.  [Feedback]","I believe that companies often exaggerate how ‘natural’ their products are. ","I believe that companies often exaggerate how ‘natural’ their products are.  [Score]","I believe that companies often exaggerate how ‘natural’ their products are.  [Feedback]","I tend not to trust product names; I always read the ingredient list. ","I tend not to trust product names; I always read the ingredient list.  [Score]","I tend not to trust product names; I always read the ingredient list.  [Feedback]",""," [Score]"," [Feedback]","If you saw this product in a store at a price of ₹120 how likely would you be to buy it in the next month? ","If you saw this product in a store at a price of ₹120 how likely would you be to buy it in the next month?  [Score]","If you saw this product in a store at a price of ₹120 how likely would you be to buy it in the next month?  [Feedback]","Based on what you saw, what do you think the main ingredient of this drink is?","Based on what you saw, what do you think the main ingredient of this drink is? [Score]","Based on what you saw, what do you think the main ingredient of this drink is? [Feedback]","In one word or short phrase, what was the first thing that came to your mind when you saw the label? ","In one word or short phrase, what was the first thing that came to your mind when you saw the label?  [Score]","In one word or short phrase, what was the first thing that came to your mind when you saw the label?  [Feedback]","Again, if you saw THIS product in a store at the same price, how likely would you be to buy it? ","Again, if you saw THIS product in a store at the same price, how likely would you be to buy it?  [Score]","Again, if you saw THIS product in a store at the same price, how likely would you be to buy it?  [Feedback]","What do you think the main ingredient of this drink is? ","What do you think the main ingredient of this drink is?  [Score]","What do you think the main ingredient of this drink is?  [Feedback]","What was the first thing that came to your mind when you saw this label? ","What was the first thing that came to your mind when you saw this label?  [Score]","What was the first thing that came to your mind when you saw this label?  [Feedback]","You just saw two similar products. Was there anything about the packaging or wording of either product that made you more or less likely to buy it? Please describe. ","You just saw two similar products. Was there anything about the packaging or wording of either product that made you more or less likely to buy it? Please describe.  [Score]","You just saw two similar products. Was there anything about the packaging or wording of either product that made you more or less likely to buy it? Please describe.  [Feedback]","If you had to guess, which of the two drinks do you think is healthier? ","If you had to guess, which of the two drinks do you think is healthier?  [Score]","If you had to guess, which of the two drinks do you think is healthier?  [Feedback]","Did either of the product names or labels give you the impression that the drink contained more fruit juice than it actually does? ","Did either of the product names or labels give you the impression that the drink contained more fruit juice than it actually does?  [Score]","Did either of the product names or labels give you the impression that the drink contained more fruit juice than it actually does?  [Feedback]"
"2026/04/25 3:15:39 am GMT+5:30","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Disagree","-- / 0","","Strongly Disagree","-- / 0","","Neutral","-- / 0","","Agree","-- / 0","","Strongly Agree","-- / 0","","Neutral","-- / 0","","","","","3","-- / 0","","Mostly sugar water with a little juice","-- / 0","","100% real only for name ","-- / 0","","3","-- / 0","","Artificial flavours ","-- / 0","","More honest about their product","-- / 0","","I will not compare them while buying 
It only depends on their taste which has better taste ","-- / 0","","They are same","-- / 0","","No, Neither","-- / 0",""
"2026/04/25 3:16:37 am GMT+5:30","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Strongly Agree","-- / 0","","Strongly agree","-- / 0","","Option 1","-- / 0","","6","-- / 0","","I’m not sure","-- / 0","","I was confused about the ingredients ","-- / 0","","9","-- / 0","","Real fruits","-- / 0","","Its not artificial ","-- / 0","","One had ambiguity so i was ","-- / 0","","Second","-- / 0","","Yes, The second one","-- / 0",""
"2026/04/25 3:23:24 am GMT+5:30","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Agree","-- / 0","","Neutral","-- / 0","","Agree","-- / 0","","Strongly Agree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Option 1","-- / 0","","6","-- / 0","","Mostly sugar water with a little juice","-- / 0","","Refreshing but probably not very healthy","-- / 0","","8","-- / 0","","Mostly fruit juice","-- / 0","","Healthy ","-- / 0","","Yes — the second product looked more natural because of its wording and cleaner design, which made it feel healthier. The first one seemed more artificial or overly marketed.","-- / 0","","Second","-- / 0","","Yes, Both","-- / 0",""
"2026/04/25 3:24:57 am GMT+5:30","0.00 / 0","30-35","-- / 0","","Female","-- / 0","","Rural","-- / 0","","Disagree","-- / 0","","Neutral","-- / 0","","Agree","-- / 0","","Strongly Disagree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Option 1","-- / 0","","1","-- / 0","","I’m not sure","-- / 0","","","-- / 0","","10","-- / 0","","Fruit","-- / 0","","Healty","-- / 0","","2 is better healthy ","-- / 0","","Second","-- / 0","","Yes, The first one","-- / 0",""
"2026/04/25 3:25:02 am GMT+5:30","0.00 / 0","30-35","-- / 0","","","","","","","","Neutral","-- / 0","","Disagree","-- / 0","","Disagree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Neutral","-- / 0","","","","","4","-- / 0","","Mostly sugar water with a little juice","-- / 0","","Fancy town drink","-- / 0","","5","-- / 0","","Some kind of fruit","-- / 0","","Colourful, looks sweet","-- / 0","","The first one had a lot of fancy words on it — 'natural,' 'fresh,' things like that. Didn't trust it much. Felt like it was trying too hard to convince me. The second one looked a bit more straightforward. I still wouldn't go out of my way to buy either, but at least the second one didn't feel like it was fooling me","-- / 0","","I'm not sure","-- / 0","","Yes, The first one","-- / 0",""
"2026/04/25 3:27:39 am GMT+5:30","0.00 / 0","24-30","-- / 0","","Female","-- / 0","","Urban","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Agree","-- / 0","","Strongly Agree","-- / 0","","Strongly Agree","-- / 0","","Strongly agree","-- / 0","","","","","6","-- / 0","","Mostly sugar water with a little juice","-- / 0","","Looks refreshing but feels overly marketed","-- / 0","","7","-- / 0","","Probably some fruit concentrate","-- / 0","","Cleaner label, seems more honest","-- / 0","","The first product used words like 'natural' and 'fresh' very prominently — as an urban woman who reads labels, that actually made me more suspicious, not less. The second one felt less gimmicky. I'd still check the ingredients before buying either.","-- / 0","","I'm not sure","-- / 0","","Yes, Both","-- / 0",""
"2026/04/25 3:27:55 am GMT+5:30","0.00 / 0","24-30","-- / 0","","Male","-- / 0","","Suburban","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Neutral","-- / 0","","Neutral","-- / 0","","Option 1","-- / 0","","5","-- / 0","","I’m not sure","-- / 0","","","-- / 0","","5","-- / 0","","Fruits","-- / 0","","Its better than last one","-- / 0","","","-- / 0","","They are same","-- / 0","","No, Neither","-- / 0",""
"2026/04/25 3:28:52 am GMT+5:30","0.00 / 0","24-30","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Disagree","-- / 0","","Strongly Agree","-- / 0","","Disagree","-- / 0","","Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Option 1","-- / 0","","5","-- / 0","","Mostly Fruit Juice","-- / 0","","","-- / 0","","2","-- / 0","","","-- / 0","","","-- / 0","","","-- / 0","","They are same","-- / 0","","Yes, The first one","-- / 0",""
"2026/04/25 3:29:28 am GMT+5:30","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Strongly Disagree","-- / 0","","Strongly Agree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Agree","-- / 0","","Strongly Agree","-- / 0","","Strongly agree","-- / 0","","Option 1","-- / 0","","10","-- / 0","","Mostly Fruit Juice","-- / 0","","","-- / 0","","1","-- / 0","","","-- / 0","","","-- / 0","","","-- / 0","","First","-- / 0","","Yes, Both","-- / 0",""
"2026/04/25 3:30:05 am GMT+5:30","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Urban","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Disagree","-- / 0","","Strongly Agree","-- / 0","","Strongly Disagree","-- / 0","","Option 1","-- / 0","","1","-- / 0","","Mostly Fruit Juice","-- / 0","","","-- / 0","","1","-- / 0","","","-- / 0","","","-- / 0","","","-- / 0","","First","-- / 0","","No, Neither","-- / 0",""
